Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Switzerland,CHE,70717.26969,71193.45984,70771.83246,70276.50737,71732.73209,73495.0611,75948.39102,78367.79128,79045.60781,76329.42212,77806.72766,78248.95803,78201.37994,78739.07041,79689.31381,79837.85015,80235.23719,80784.56154
Chile,CHL,5137903.762,5244993.588,5346110.67,5502865.668,5835246.355,6104136.056,6421057.902,6665821.095,6830576.558,6656810.074,6977884.071,7335231.138,7655568.157,7895342.031,7966034.908,8081363.681,8116459.673,8171244.472
China,CHN,13704.32165,14739.79302,15978.21791,17472.55905,19125.31899,21179.86639,23740.90116,26978.29231,29431.66371,32038.43494,35275.31029,38454.62252,41274.12736,44256.98231,47246.88597,50251.02411,53328.29824,56690.09663
Cote d'Ivoire,CIV,628072.2194,615785.9168,594137.4718,575689.5682,572471.2668,571572.755,568969.0386,567286.0914,569418.1501,575004.4918,573236.7168,535130.1868,577950.0231,613634.7822,650856.3643,690718.5298,727292.1552,764001.3995
Cameroon,CMR,500023.2426,508621.7684,516561.5881,526123.8095,547050.0286,543312.2886,547063.5538,558413.3774,562257.6031,559079.7613,562638.6959,570170.1332,580186.5301,595350.8808,613823.0633,631625.5711,643934.9228,649753.2458
"Congo, Dem. Rep.",COD,99915.6552,95153.33972,95124.95443,97393.35257,100733.2007,103560.0392,105614.609,108624.3464,111648.7512,111090.3738,115088.5642,118962.1836,123209.6531,129279.588,136902.4507,141618.882,140339.5225,140874.5045
"Congo, Rep.",COG,272130.9026,274804.9795,279688.7749,274288.3051,275722.3184,288093.059,296171.7588,281671.2812,287309.361,298731.0848,315026.3764,316702.9714,320178.6694,322967.8118,336389.6581,336683.6494,318945.5894,301131.474
Colombia,COL,10655041.16,10679212.9,10792953,11061614.23,11495536.14,11880449.87,12526680.58,13222057.73,13492476.12,13500383.38,13933335.76,14801698.15,15223649.32,15763713.96,16353994.76,16684921.01,16863871.38,17021391.79
Comoros,COM,454211.8936,453494.2291,452963.147,451603.2791,449469.8842,451342.0761,452344.6542,445165.3627,451976.404,455339.1598,461375.5125,468819.0396,472260.1358,481776.1295,480308.4075,474324.1783,473629.3695,475509.6374
Cabo Verde,CPV,170694.4867,171107.0547,176749.6313,180913.4898,196156.9336,206665.6902,220274.5804,250748.7589,264550.5954,258435.6803,259396.8222,266675.3387,266459.9505,265434.9092,263845.6153,263263.626,272256.4212,279643.9459
Costa Rica,CRI,3574377.53,3633099.187,3691360.625,3789900.521,3896580.518,3989478.123,4217705.31,4498851.77,4644216.12,4538935.266,4703940.287,4847677.717,5021657.345,5078553.555,5200535.05,5333046.066,5502919.758,5627258.567
Cuba,CUB,2562.548338,2635.702794,2665.76086,2760.250549,2913.816625,3235.241305,3621.756031,3882.211176,4039.866826,4095.293747,4187.839621,4297.005694,4415.86323,4525.257999,4561.631369,4755.077725,4773.44771,4854.920957
Cayman Islands,CYM,56457.58989,54660.37573,53822.68329,53360.51076,52393.9679,54281.27466,55179.19463,55318.84204,53618.28412,48517.2088,46155.46901,45810.30552,45612.62899,45525.03875,46100.89165,46781.6186,47796.38453,48548.11445
Cyprus,CYP,20149.46191,20721.32325,21247.86156,21541.84771,22323.99242,23072.68394,23760.54809,24445.82043,24708.98718,23569.74636,23267.95234,22773.30202,21783.41214,20567.88241,20522.78934,21044.98952,21956.77115,22673.96067
Czech Republic,CZE,282779.8328,292100.6538,297500.9307,308308.0848,323336.9955,343985.966,366567.128,384852.2376,391910.9859,370969.6229,378299.4937,384229.8197,380623.6166,378657.0292,388528.7582,408353.1109,417557.2942,434575.9539
Germany,DEU,28690.51922,29127.917,29078.98586,28856.57197,29200.52399,29423.58963,30546.74594,31584.94008,31987.553,30266.81104,31549.97381,33316.60874,33417.73077,33489.82018,34076.89538,34370.64233,34858.78758,35465.52422
